 Event;Date;Time;User/Messagenr.;Type/State/Recipe No./Messagetext;Name/Messagetext/File name;Old value;New value;Symbol name;
I;2017.04.07;10:45:24;student;D;Taster Maschine starten;0;1;dTastSTART;
I;2017.04.07;10:45:25;student;D;Taster Maschine starten;0;1;dTastSTART;
I;2017.04.07;10:45:26;student;D;Taster Maschine starten;0;1;dTastSTART;
I;2017.04.07;10:45:27;student;D;Taster Maschine starten;0;1;dTastSTART;
I;2017.04.07;10:45:29;student;D;Betriebsart Taster HALBAUTOMATIK EIN;0;1;dTastHAUTO;
I;2017.04.07;10:45:30;student;D;Taster Maschine starten;0;1;dTastSTART;
A;2017.04.07;10:45:50;0600;0;FTP-Zugriff;
I;2017.04.07;10:45:56;student;D;Taster Maschine starten;0;1;dTastSTART;
I;2017.04.07;10:46:05;student;D;Eingabe;0;1;dEnter;
I;2017.04.07;10:46:05;student;D;Eingabe;1;0;dEnter;
I;2017.04.07;10:46:05;student;A;Sollwert K¸hlzeit [sec];15,0;10,0;stKuehl;
I;2017.04.07;10:46:14;student;D;Taster Maschine starten;0;1;dTastSTART;
I;2017.04.07;10:46:20;student;D;Betriebsart Taster AUTOMATIK EIN;0;1;dTastAUTO;
A;2017.04.07;10:46:33;0009;1;Werkzeugsicherung ausgelˆst;
A;2017.04.07;10:46:38;0007;1;Elektrische Schlieﬂsicherung;
A;2017.04.07;10:46:50;0007;2;Elektrische Schlieﬂsicherung;
A;2017.04.07;10:46:51;0007;0;Elektrische Schlieﬂsicherung;
A;2017.04.07;10:46:53;0009;2;Werkzeugsicherung ausgelˆst;
I;2017.04.07;10:46:59;student;D;Betriebsart Taster AUTOMATIK EIN;0;1;dTastAUTO;
A;2017.04.07;10:46:59;0009;0;Werkzeugsicherung ausgelˆst;
I;2017.04.07;10:47:00;student;D;Taster Maschine starten;0;1;dTastSTART;
I;2017.04.07;10:47:01;student;D;Taster Pumpe einschalten;0;1;dTastPumpeEin;
I;2017.04.07;10:47:01;student;D;Taster Maschine starten;0;1;dTastSTART;
A;2017.04.07;10:48:24;0600;1;FTP-Zugriff;
A;2017.04.07;10:49:27;0600;0;FTP-Zugriff;
I;2017.04.07;10:49:44;student;D;Betriebsart Taster HALBAUTOMATIK EIN;0;1;dTastHAUTO;
I;2017.04.07;10:51:01;student;D;Betriebsart Taster HAND EIN;0;1;dTastHAND;
